IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.159.209.203,443,443,true,FRA,Europe,Frankfurt,276,3.93
34.65.137.118,443,443,true,FRA,Europe,Frankfurt,256,3.93
34.65.117.28,443,443,true,FRA,Europe,Frankfurt,253,3.92
34.147.63.145,443,443,true,FRA,Europe,Frankfurt,299,3.92
34.118.10.49,443,443,true,FRA,Europe,Frankfurt,274,3.92
34.90.137.139,443,443,true,FRA,Europe,Frankfurt,268,3.91
34.118.36.94,443,443,true,FRA,Europe,Frankfurt,287,3.90
34.65.191.192,443,443,true,FRA,Europe,Frankfurt,237,3.90
34.116.238.166,443,443,true,FRA,Europe,Frankfurt,295,3.88
34.118.15.95,443,443,true,FRA,Europe,Frankfurt,266,3.88
35.204.229.43,443,443,true,FRA,Europe,Frankfurt,280,3.87
34.90.76.0,443,443,true,FRA,Europe,Frankfurt,256,3.87
35.204.90.215,443,443,true,FRA,Europe,Frankfurt,280,3.86
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,268,3.84
34.91.173.96,443,443,true,FRA,Europe,Frankfurt,258,3.84
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,273,3.84
34.91.151.106,443,443,true,FRA,Europe,Frankfurt,258,3.83
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,260,3.82
34.65.8.113,443,443,true,FRA,Europe,Frankfurt,261,3.82
34.91.151.106,443,443,true,FRA,Europe,Frankfurt,258,3.81
34.90.238.42,443,443,true,FRA,Europe,Frankfurt,246,3.80
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,270,3.80
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,278,3.78
34.116.206.226,443,443,true,FRA,Europe,Frankfurt,336,3.77
34.118.33.218,443,443,true,FRA,Europe,Frankfurt,274,3.77
35.246.139.228,443,443,true,FRA,Europe,Frankfurt,272,3.75
34.116.218.15,443,443,true,FRA,Europe,Frankfurt,267,3.75
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,295,3.74
34.89.143.11,443,443,true,FRA,Europe,Frankfurt,277,3.73
34.65.101.209,443,443,true,FRA,Europe,Frankfurt,251,3.73
34.118.67.168,443,443,true,FRA,Europe,Frankfurt,268,3.73
34.90.238.42,443,443,true,FRA,Europe,Frankfurt,275,3.72
34.65.241.114,443,443,true,FRA,Europe,Frankfurt,248,3.68
34.116.143.167,443,443,true,FRA,Europe,Frankfurt,277,3.67
34.91.18.119,443,443,true,FRA,Europe,Frankfurt,273,3.66
34.118.10.184,443,443,true,FRA,Europe,Frankfurt,270,3.66
34.65.171.157,443,443,true,FRA,Europe,Frankfurt,271,3.66
34.141.231.162,443,443,true,FRA,Europe,Frankfurt,273,3.65
34.65.35.242,443,443,true,FRA,Europe,Frankfurt,257,3.61
34.159.237.42,443,443,true,FRA,Europe,Frankfurt,264,3.59
34.118.2.147,443,443,true,FRA,Europe,Frankfurt,268,3.52
34.65.168.242,443,443,true,FRA,Europe,Frankfurt,251,3.51
34.65.117.28,443,443,true,FRA,Europe,Frankfurt,249,3.51
34.65.188.127,443,443,true,FRA,Europe,Frankfurt,261,3.51
35.204.221.131,443,443,true,FRA,Europe,Frankfurt,276,3.50
34.65.169.80,443,443,true,FRA,Europe,Frankfurt,298,3.44
34.91.86.86,443,443,true,FRA,Europe,Frankfurt,231,3.41
34.118.97.186,443,443,true,FRA,Europe,Frankfurt,269,3.39
34.65.188.127,443,443,true,FRA,Europe,Frankfurt,262,3.39
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,258,3.37
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,267,3.37
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,261,3.36
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,239,3.34
34.65.208.254,443,443,true,FRA,Europe,Frankfurt,252,3.32
34.65.127.240,443,443,true,FRA,Europe,Frankfurt,260,3.31
34.91.133.41,443,443,true,FRA,Europe,Frankfurt,288,3.31
34.90.206.159,443,443,true,FRA,Europe,Frankfurt,266,3.31
34.89.179.44,443,443,true,FRA,Europe,Frankfurt,272,3.27
34.65.232.239,443,443,true,FRA,Europe,Frankfurt,257,3.26
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,250,3.25
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,262,3.24
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,268,3.20
34.65.254.14,443,443,true,FRA,Europe,Frankfurt,260,3.20
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,275,3.19
34.65.173.251,443,443,true,FRA,Europe,Frankfurt,251,3.19
34.154.248.193,443,443,true,FRA,Europe,Frankfurt,260,3.19
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,252,3.18
34.65.128.143,443,443,true,FRA,Europe,Frankfurt,261,3.17
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,252,3.16
34.65.127.145,443,443,true,FRA,Europe,Frankfurt,260,3.16
34.116.248.223,443,443,true,FRA,Europe,Frankfurt,270,3.16
34.118.70.217,443,443,true,FRA,Europe,Frankfurt,291,3.16
34.65.8.113,443,443,true,FRA,Europe,Frankfurt,263,3.15
34.118.30.99,443,443,true,FRA,Europe,Frankfurt,266,3.14
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,250,3.12
34.118.7.118,443,443,true,FRA,Europe,Frankfurt,270,3.11
34.65.114.161,443,443,true,FRA,Europe,Frankfurt,291,3.11
34.65.200.26,443,443,true,FRA,Europe,Frankfurt,249,3.09
34.65.185.192,443,443,true,FRA,Europe,Frankfurt,282,3.07
34.116.223.193,443,443,true,FRA,Europe,Frankfurt,268,3.07
34.154.192.208,443,443,true,FRA,Europe,Frankfurt,259,3.06
34.65.117.28,443,443,true,FRA,Europe,Frankfurt,251,3.05
34.91.171.198,443,443,true,FRA,Europe,Frankfurt,275,3.02
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,285,3.02
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,251,3.01
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,263,3.01
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,269,2.99
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,262,2.96
34.154.188.100,443,443,true,FRA,Europe,Frankfurt,260,2.93
34.65.37.14,443,443,true,FRA,Europe,Frankfurt,249,2.91
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,255,2.88
34.65.127.153,443,443,true,FRA,Europe,Frankfurt,263,2.87
34.154.39.79,443,443,true,FRA,Europe,Frankfurt,256,2.86
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,251,2.85
34.154.207.121,443,443,true,FRA,Europe,Frankfurt,251,2.85
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,256,2.84
34.65.192.13,443,443,true,FRA,Europe,Frankfurt,257,2.83
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,300,2.80
34.32.232.165,443,443,true,FRA,Europe,Frankfurt,278,2.79
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,350,2.78
34.65.114.161,443,443,true,FRA,Europe,Frankfurt,276,2.77
34.116.179.159,443,443,true,FRA,Europe,Frankfurt,445,2.76
34.154.113.182,443,443,true,FRA,Europe,Frankfurt,273,2.75
34.116.187.139,443,443,true,FRA,Europe,Frankfurt,491,2.75
34.65.136.216,443,443,true,FRA,Europe,Frankfurt,252,2.75
34.65.150.148,443,443,true,FRA,Europe,Frankfurt,253,2.74
34.65.35.242,443,443,true,FRA,Europe,Frankfurt,269,2.74
34.154.111.143,443,443,true,FRA,Europe,Frankfurt,276,2.72
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,268,2.72
34.65.205.103,443,443,true,FRA,Europe,Frankfurt,261,2.71
34.90.137.139,443,443,true,FRA,Europe,Frankfurt,249,2.71
34.65.136.216,443,443,true,FRA,Europe,Frankfurt,272,2.69
34.154.111.198,443,443,true,FRA,Europe,Frankfurt,256,2.69
34.116.203.33,443,443,true,FRA,Europe,Frankfurt,268,2.68
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,252,2.68
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,271,2.65
34.65.202.52,443,443,true,FRA,Europe,Frankfurt,273,2.63
34.65.127.145,443,443,true,FRA,Europe,Frankfurt,259,2.59
34.154.173.122,443,443,true,FRA,Europe,Frankfurt,255,2.59
34.118.14.224,443,443,true,FRA,Europe,Frankfurt,343,2.57
34.118.27.183,443,443,true,FRA,Europe,Frankfurt,330,2.57
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,250,2.55
34.91.86.86,443,443,true,FRA,Europe,Frankfurt,307,2.53
34.65.171.157,443,443,true,FRA,Europe,Frankfurt,251,2.52
34.65.137.126,443,443,true,FRA,Europe,Frankfurt,254,2.52
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,250,2.50
34.118.70.10,443,443,true,FRA,Europe,Frankfurt,269,2.50
34.116.191.48,443,443,true,FRA,Europe,Frankfurt,267,2.50
34.118.69.58,443,443,true,FRA,Europe,Frankfurt,270,2.49
34.154.85.251,443,443,true,FRA,Europe,Frankfurt,251,2.48
34.116.179.159,443,443,true,FRA,Europe,Frankfurt,268,2.47
34.154.189.46,443,443,true,FRA,Europe,Frankfurt,259,2.45
34.118.10.184,443,443,true,FRA,Europe,Frankfurt,326,2.45
34.65.44.114,443,443,true,FRA,Europe,Frankfurt,260,2.44
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,250,2.44
34.91.133.41,443,443,true,FRA,Europe,Frankfurt,268,2.43
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,333,2.43
34.116.132.90,443,443,true,FRA,Europe,Frankfurt,266,2.41
34.116.171.197,443,443,true,FRA,Europe,Frankfurt,396,2.41
34.65.183.109,443,443,true,FRA,Europe,Frankfurt,252,2.40
34.116.153.22,443,443,true,FRA,Europe,Frankfurt,268,2.40
34.154.174.146,443,443,true,FRA,Europe,Frankfurt,250,2.39
34.116.203.29,443,443,true,FRA,Europe,Frankfurt,355,2.39
34.154.105.105,443,443,true,FRA,Europe,Frankfurt,253,2.39
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,275,2.37
34.118.90.226,443,443,true,FRA,Europe,Frankfurt,268,2.35
34.116.132.90,443,443,true,FRA,Europe,Frankfurt,340,2.34
34.65.197.216,443,443,true,FRA,Europe,Frankfurt,259,2.34
34.65.200.26,443,443,true,FRA,Europe,Frankfurt,250,2.33
34.65.27.255,443,443,true,FRA,Europe,Frankfurt,273,2.33
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,269,2.31
34.154.132.77,443,443,true,FRA,Europe,Frankfurt,281,2.31
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,302,2.31
34.65.127.240,443,443,true,FRA,Europe,Frankfurt,250,2.30
34.90.238.42,443,443,true,FRA,Europe,Frankfurt,272,2.30
34.154.22.205,443,443,true,FRA,Europe,Frankfurt,265,2.30
34.118.82.157,443,443,true,FRA,Europe,Frankfurt,266,2.29
34.65.137.118,443,443,true,FRA,Europe,Frankfurt,257,2.29
34.154.141.194,443,443,true,FRA,Europe,Frankfurt,250,2.28
34.116.203.33,443,443,true,FRA,Europe,Frankfurt,345,2.27
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,265,2.27
34.154.231.46,443,443,true,FRA,Europe,Frankfurt,261,2.27
34.154.150.21,443,443,true,FRA,Europe,Frankfurt,251,2.26
34.65.188.127,443,443,true,FRA,Europe,Frankfurt,251,2.26
34.116.179.241,443,443,true,FRA,Europe,Frankfurt,316,2.22
34.118.41.188,443,443,true,FRA,Europe,Frankfurt,385,2.21
34.154.97.79,443,443,true,FRA,Europe,Frankfurt,254,2.21
34.118.62.63,443,443,true,FRA,Europe,Frankfurt,278,2.21
34.154.211.70,443,443,true,FRA,Europe,Frankfurt,271,2.21
34.116.239.73,443,443,true,FRA,Europe,Frankfurt,335,2.21
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,355,2.20
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,42,2.18
34.65.127.249,443,443,true,FRA,Europe,Frankfurt,254,2.18
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,292,2.18
34.116.191.48,443,443,true,FRA,Europe,Frankfurt,341,2.18
34.116.153.22,443,443,true,FRA,Europe,Frankfurt,314,2.17
34.141.217.84,443,443,true,FRA,Europe,Frankfurt,219,2.17
34.154.155.204,443,443,true,FRA,Europe,Frankfurt,250,2.15
34.65.208.254,443,443,true,FRA,Europe,Frankfurt,252,2.15
34.65.210.213,443,443,true,FRA,Europe,Frankfurt,252,2.15
34.65.171.227,443,443,true,FRA,Europe,Frankfurt,305,2.13
34.65.168.136,443,443,true,FRA,Europe,Frankfurt,261,2.13
34.154.21.152,443,443,true,FRA,Europe,Frankfurt,257,2.13
34.116.178.230,443,443,true,FRA,Europe,Frankfurt,330,2.13
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,278,2.13
34.159.114.222,443,443,true,FRA,Europe,Frankfurt,243,2.13
34.118.10.49,443,443,true,FRA,Europe,Frankfurt,345,2.12
34.118.7.118,443,443,true,FRA,Europe,Frankfurt,349,2.12
34.118.21.230,443,443,true,FRA,Europe,Frankfurt,339,2.11
34.118.7.218,443,443,true,FRA,Europe,Frankfurt,359,2.10
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,198,2.09
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,201,2.09
34.65.241.114,443,443,true,FRA,Europe,Frankfurt,281,2.08
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,199,2.07
34.116.188.237,443,443,true,FRA,Europe,Frankfurt,288,2.06
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,209,2.06
34.154.134.105,443,443,true,FRA,Europe,Frankfurt,261,2.03
34.116.186.105,443,443,true,FRA,Europe,Frankfurt,333,2.02
34.116.140.78,443,443,true,FRA,Europe,Frankfurt,268,2.00
34.154.166.85,443,443,true,FRA,Europe,Frankfurt,252,1.99
34.154.113.244,443,443,true,FRA,Europe,Frankfurt,250,1.99
34.65.128.143,443,443,true,FRA,Europe,Frankfurt,253,1.99
34.65.169.80,443,443,true,FRA,Europe,Frankfurt,290,1.98
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,200,1.97
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,199,1.97
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,209,1.96
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,209,1.96
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,200,1.96
34.116.143.167,443,443,true,FRA,Europe,Frankfurt,336,1.95
34.65.150.148,443,443,true,FRA,Europe,Frankfurt,262,1.93
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,267,1.93
34.154.63.228,443,443,true,FRA,Europe,Frankfurt,262,1.93
34.154.255.192,443,443,true,FRA,Europe,Frankfurt,262,1.93
34.175.143.15,2095,80,false,MAD,Europe,Madrid,192,1.92
34.118.15.95,443,443,true,FRA,Europe,Frankfurt,336,1.91
34.65.14.48,443,443,true,FRA,Europe,Frankfurt,282,1.90
34.118.92.14,443,443,true,FRA,Europe,Frankfurt,278,1.89
34.65.232.239,443,443,true,FRA,Europe,Frankfurt,250,1.88
34.65.192.238,443,443,true,FRA,Europe,Frankfurt,284,1.88
34.116.187.139,443,443,true,FRA,Europe,Frankfurt,312,1.87
34.154.97.96,443,443,true,FRA,Europe,Frankfurt,264,1.86
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,282,1.86
34.154.237.146,443,443,true,FRA,Europe,Frankfurt,260,1.85
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,269,1.83
34.65.205.103,443,443,true,FRA,Europe,Frankfurt,251,1.82
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,250,1.82
34.65.183.231,443,443,true,FRA,Europe,Frankfurt,250,1.81
34.154.206.98,443,443,true,FRA,Europe,Frankfurt,260,1.79
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,369,1.76
34.154.115.108,443,443,true,FRA,Europe,Frankfurt,254,1.76
34.116.189.247,443,443,true,FRA,Europe,Frankfurt,269,1.76
34.154.114.64,443,443,true,FRA,Europe,Frankfurt,258,1.76
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,278,1.76
34.65.197.216,443,443,true,FRA,Europe,Frankfurt,250,1.75
34.65.85.125,443,443,true,FRA,Europe,Frankfurt,231,1.75
34.154.61.255,443,443,true,FRA,Europe,Frankfurt,288,1.75
34.116.182.70,443,443,true,FRA,Europe,Frankfurt,385,1.75
34.116.178.230,443,443,true,FRA,Europe,Frankfurt,269,1.75
34.154.143.140,443,443,true,FRA,Europe,Frankfurt,261,1.74
34.65.192.13,443,443,true,FRA,Europe,Frankfurt,253,1.72
34.116.175.12,443,443,true,FRA,Europe,Frankfurt,357,1.71
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,258,1.71
34.65.101.209,443,443,true,FRA,Europe,Frankfurt,258,1.69
34.116.179.241,443,443,true,FRA,Europe,Frankfurt,268,1.67
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,264,1.66
34.118.114.231,443,443,true,FRA,Europe,Frankfurt,286,1.63
34.65.154.70,443,443,true,FRA,Europe,Frankfurt,207,1.63
34.154.164.171,443,443,true,FRA,Europe,Frankfurt,250,1.63
34.154.206.40,443,443,true,FRA,Europe,Frankfurt,271,1.62
34.65.252.157,443,443,true,FRA,Europe,Frankfurt,274,1.59
34.116.171.221,443,443,true,FRA,Europe,Frankfurt,268,1.58
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,385,1.57
34.65.191.192,443,443,true,FRA,Europe,Frankfurt,278,1.56
34.65.127.249,443,443,true,FRA,Europe,Frankfurt,261,1.56
34.154.28.58,443,443,true,FRA,Europe,Frankfurt,261,1.55
34.154.198.74,443,443,true,FRA,Europe,Frankfurt,249,1.55
34.154.186.147,443,443,true,FRA,Europe,Frankfurt,259,1.54
34.154.118.156,443,443,true,FRA,Europe,Frankfurt,253,1.54
34.116.151.212,443,443,true,FRA,Europe,Frankfurt,387,1.53
34.154.11.70,443,443,true,FRA,Europe,Frankfurt,297,1.51
34.154.193.123,443,443,true,FRA,Europe,Frankfurt,250,1.51
34.154.9.123,443,443,true,FRA,Europe,Frankfurt,294,1.50
34.118.119.233,443,443,true,FRA,Europe,Frankfurt,274,1.50
34.90.206.159,443,443,true,FRA,Europe,Frankfurt,277,1.40
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,265,1.39
34.154.237.161,443,443,true,FRA,Europe,Frankfurt,258,1.21
34.118.51.242,443,443,true,FRA,Europe,Frankfurt,347,1.18
34.65.191.192,443,443,true,FRA,Europe,Frankfurt,288,1.15
34.65.206.57,443,443,true,FRA,Europe,Frankfurt,273,0.97
34.116.151.212,443,443,true,FRA,Europe,Frankfurt,311,0.95
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,268,0.94
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,300,0.94
34.65.203.85,443,443,true,FRA,Europe,Frankfurt,270,0.93
34.65.85.125,443,443,true,FRA,Europe,Frankfurt,265,0.91
34.90.238.42,443,443,true,FRA,Europe,Frankfurt,333,0.90
34.159.180.192,443,443,true,FRA,Europe,Frankfurt,291,0.89
34.154.201.52,443,443,true,FRA,Europe,Frankfurt,278,0.84
34.65.9.155,443,443,true,FRA,Europe,Frankfurt,274,0.83
35.204.33.7,443,443,true,FRA,Europe,Frankfurt,225,0.78
34.32.144.233,443,443,true,FRA,Europe,Frankfurt,277,0.78
34.116.175.12,443,443,true,FRA,Europe,Frankfurt,305,0.78
34.91.81.192,443,443,true,FRA,Europe,Frankfurt,283,0.75
34.90.137.139,443,443,true,FRA,Europe,Frankfurt,257,0.72
34.91.149.210,443,443,true,FRA,Europe,Frankfurt,280,0.71
34.116.214.219,443,443,true,FRA,Europe,Frankfurt,351,0.71
34.154.125.224,443,443,true,FRA,Europe,Frankfurt,286,0.70
34.141.224.165,443,443,true,FRA,Europe,Frankfurt,267,0.69
34.32.224.57,443,443,true,FRA,Europe,Frankfurt,269,0.69
34.154.179.84,443,443,true,FRA,Europe,Frankfurt,252,0.66
34.89.143.11,443,443,true,FRA,Europe,Frankfurt,262,0.63
34.89.179.44,443,443,true,FRA,Europe,Frankfurt,262,0.62
34.154.172.60,443,443,true,FRA,Europe,Frankfurt,229,0.61
34.154.129.114,443,443,true,FRA,Europe,Frankfurt,259,0.58
34.65.252.157,443,443,true,FRA,Europe,Frankfurt,287,0.58
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,342,0.58
34.116.171.197,443,443,true,FRA,Europe,Frankfurt,296,0.58
34.65.133.57,443,443,true,FRA,Europe,Frankfurt,257,0.58
34.118.68.152,443,443,true,FRA,Europe,Frankfurt,295,0.57
34.118.3.150,443,443,true,FRA,Europe,Frankfurt,294,0.55
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,278,0.53
34.147.24.13,443,443,true,FRA,Europe,Frankfurt,236,0.52
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,281,0.52
34.116.239.211,443,443,true,FRA,Europe,Frankfurt,272,0.51
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,298,0.48
34.65.224.8,443,443,true,FRA,Europe,Frankfurt,272,0.48
34.118.1.28,443,443,true,FRA,Europe,Frankfurt,396,0.47
34.65.133.57,443,443,true,FRA,Europe,Frankfurt,272,0.47
34.65.14.48,443,443,true,FRA,Europe,Frankfurt,256,0.46
34.65.114.161,443,443,true,FRA,Europe,Frankfurt,266,0.46
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,196,0.46
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,276,0.46
