IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.198.145.232,443,443,true,FRA,Europe,Frankfurt,261,4.28
35.198.119.117,443,443,true,FRA,Europe,Frankfurt,252,4.28
34.65.206.57,443,443,true,FRA,Europe,Frankfurt,267,4.27
34.118.92.14,443,443,true,FRA,Europe,Frankfurt,268,4.27
34.91.173.96,443,443,true,FRA,Europe,Frankfurt,291,4.27
34.91.227.44,443,443,true,FRA,Europe,Frankfurt,267,4.27
34.116.138.163,443,443,true,FRA,Europe,Frankfurt,286,4.27
34.154.184.249,443,443,true,FRA,Europe,Frankfurt,253,4.26
34.118.65.49,443,443,true,FRA,Europe,Frankfurt,266,4.25
34.90.190.78,443,443,true,FRA,Europe,Frankfurt,261,4.25
34.159.193.242,443,443,true,FRA,Europe,Frankfurt,257,4.25
34.90.76.0,443,443,true,FRA,Europe,Frankfurt,263,4.25
34.154.214.184,443,443,true,FRA,Europe,Frankfurt,275,4.24
34.118.127.239,443,443,true,FRA,Europe,Frankfurt,281,4.24
34.141.157.19,443,443,true,FRA,Europe,Frankfurt,257,4.24
34.118.7.218,443,443,true,FRA,Europe,Frankfurt,280,4.24
34.32.169.219,443,443,true,FRA,Europe,Frankfurt,258,4.23
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,260,4.23
34.65.13.192,443,443,true,FRA,Europe,Frankfurt,253,4.22
34.65.171.157,443,443,true,FRA,Europe,Frankfurt,252,4.22
35.246.156.162,443,443,true,FRA,Europe,Frankfurt,258,4.22
34.65.157.194,443,443,true,FRA,Europe,Frankfurt,252,4.22
34.141.212.83,443,443,true,FRA,Europe,Frankfurt,269,4.21
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,263,4.21
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,280,4.21
34.91.252.156,443,443,true,FRA,Europe,Frankfurt,265,4.21
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,250,4.20
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,268,4.20
34.141.215.175,443,443,true,FRA,Europe,Frankfurt,269,4.20
34.65.154.70,443,443,true,FRA,Europe,Frankfurt,270,4.19
34.118.105.75,443,443,true,FRA,Europe,Frankfurt,268,4.19
34.141.143.59,443,443,true,FRA,Europe,Frankfurt,259,4.19
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,365,4.18
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,274,4.18
34.141.147.106,443,443,true,FRA,Europe,Frankfurt,257,4.17
34.90.125.228,443,443,true,FRA,Europe,Frankfurt,261,4.17
34.34.1.13,443,443,true,FRA,Europe,Frankfurt,272,4.17
34.65.97.157,443,443,true,FRA,Europe,Frankfurt,280,4.16
34.159.192.6,443,443,true,FRA,Europe,Frankfurt,284,4.16
34.116.241.129,443,443,true,FRA,Europe,Frankfurt,267,4.15
34.32.214.127,443,443,true,FRA,Europe,Frankfurt,269,4.15
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,267,4.14
34.65.13.192,443,443,true,FRA,Europe,Frankfurt,259,4.14
34.90.240.8,443,443,true,FRA,Europe,Frankfurt,258,4.14
34.34.32.211,443,443,true,FRA,Europe,Frankfurt,257,4.14
34.118.97.186,443,443,true,FRA,Europe,Frankfurt,269,4.13
34.32.187.0,443,443,true,FRA,Europe,Frankfurt,257,4.12
34.118.70.10,443,443,true,FRA,Europe,Frankfurt,278,4.11
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,270,4.11
34.159.187.131,443,443,true,FRA,Europe,Frankfurt,252,4.10
34.91.136.68,443,443,true,FRA,Europe,Frankfurt,283,4.10
34.65.44.114,443,443,true,FRA,Europe,Frankfurt,249,4.10
34.116.182.70,443,443,true,FRA,Europe,Frankfurt,266,4.09
34.91.151.106,443,443,true,FRA,Europe,Frankfurt,260,4.09
34.65.108.239,443,443,true,FRA,Europe,Frankfurt,251,4.09
34.65.101.209,443,443,true,FRA,Europe,Frankfurt,271,4.09
34.147.66.152,443,443,true,FRA,Europe,Frankfurt,258,4.09
34.65.35.242,443,443,true,FRA,Europe,Frankfurt,260,4.08
34.90.190.78,443,443,true,FRA,Europe,Frankfurt,299,4.08
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,279,4.08
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,277,4.07
34.116.206.226,443,443,true,FRA,Europe,Frankfurt,266,4.07
34.141.115.112,443,443,true,FRA,Europe,Frankfurt,251,4.06
34.65.192.13,443,443,true,FRA,Europe,Frankfurt,253,4.06
34.116.197.115,443,443,true,FRA,Europe,Frankfurt,296,4.06
34.91.108.78,443,443,true,FRA,Europe,Frankfurt,267,4.05
34.116.140.78,443,443,true,FRA,Europe,Frankfurt,341,4.05
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,270,4.05
34.147.119.30,443,443,true,FRA,Europe,Frankfurt,258,4.04
34.118.17.244,443,443,true,FRA,Europe,Frankfurt,285,4.02
34.91.151.106,443,443,true,FRA,Europe,Frankfurt,262,4.02
34.118.90.226,443,443,true,FRA,Europe,Frankfurt,269,4.01
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,253,4.00
34.91.81.192,443,443,true,FRA,Europe,Frankfurt,269,3.97
34.107.118.25,443,443,true,FRA,Europe,Frankfurt,285,3.96
34.116.161.128,443,443,true,FRA,Europe,Frankfurt,270,3.96
34.65.150.148,443,443,true,FRA,Europe,Frankfurt,252,3.96
35.204.101.213,443,443,true,FRA,Europe,Frankfurt,257,3.96
34.90.71.43,443,443,true,FRA,Europe,Frankfurt,258,3.96
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,249,3.95
34.116.241.129,443,443,true,FRA,Europe,Frankfurt,431,3.95
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,278,3.94
34.154.240.99,443,443,true,FRA,Europe,Frankfurt,251,3.93
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,223,3.93
34.89.156.120,443,443,true,FRA,Europe,Frankfurt,268,3.93
