IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.107.174,2082,2082,false,SIN,Asia Pacific,Singapore,5,11.32
8.219.145.245,2095,2095,false,SIN,Asia Pacific,Singapore,14,11.32
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,11.31
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,15,11.31
8.219.82.35,8443,8443,true,SIN,Asia Pacific,Singapore,84,11.31
8.222.210.182,8080,8080,false,SIN,Asia Pacific,Singapore,3,11.31
8.219.6.157,2087,2087,true,SIN,Asia Pacific,Singapore,96,11.30
8.219.97.179,2082,2082,false,SIN,Asia Pacific,Singapore,10,11.30
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,52,11.30
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,70,11.30
8.218.158.94,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,11.29
8.222.244.123,80,80,false,SIN,Asia Pacific,Singapore,20,11.29
8.218.188.129,2083,2083,true,HKG,Asia Pacific,Hong Kong,89,11.29
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,77,11.29
8.218.85.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,11.29
8.219.13.143,2086,2086,false,SIN,Asia Pacific,Singapore,6,11.29
8.219.51.211,2082,2082,false,SIN,Asia Pacific,Singapore,2,11.28
8.222.211.16,2082,2082,false,SIN,Asia Pacific,Singapore,6,11.28
8.222.244.123,80,80,false,SIN,Asia Pacific,Singapore,3,11.28
8.219.82.35,2053,2053,true,SIN,Asia Pacific,Singapore,76,11.28
47.74.20.106,8880,8880,false,NRT,Asia Pacific,Tokyo,74,11.27
8.219.178.101,8880,8880,false,SIN,Asia Pacific,Singapore,4,11.27
8.219.84.214,8880,8880,false,SIN,Asia Pacific,Singapore,20,11.27
8.218.11.90,2096,2096,true,HKG,Asia Pacific,Hong Kong,110,11.26
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,5,11.26
8.219.201.174,2086,2086,false,SIN,Asia Pacific,Singapore,16,11.26
8.219.87.34,80,80,false,SIN,Asia Pacific,Singapore,24,11.26
8.222.197.251,8880,8880,false,SIN,Asia Pacific,Singapore,12,11.26
47.236.121.7,80,80,false,SIN,Asia Pacific,Singapore,26,11.26
8.222.226.15,8080,8080,false,SIN,Asia Pacific,Singapore,4,11.25
8.219.235.164,2086,2086,false,SIN,Asia Pacific,Singapore,11,11.25
8.217.248.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,11.24
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,43,11.24
8.218.65.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,11.23
8.219.50.180,443,443,true,SIN,Asia Pacific,Singapore,74,11.23
8.222.212.172,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.23
8.222.202.163,80,80,false,SIN,Asia Pacific,Singapore,5,11.22
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,12,11.22
8.222.219.34,2083,2083,true,SIN,Asia Pacific,Singapore,50,11.22
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,30,11.22
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,41,11.22
8.219.84.102,2096,2096,true,SIN,Asia Pacific,Singapore,108,11.21
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,14,11.21
8.219.97.179,2083,2083,true,SIN,Asia Pacific,Singapore,61,11.21
8.219.140.229,8880,8880,false,SIN,Asia Pacific,Singapore,14,11.20
8.219.73.188,443,443,true,SIN,Asia Pacific,Singapore,29,11.19
8.219.110.88,2082,2082,false,SIN,Asia Pacific,Singapore,24,11.19
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,115,11.19
8.219.84.102,2095,2095,false,SIN,Asia Pacific,Singapore,18,11.19
8.218.211.17,8443,8443,true,HKG,Asia Pacific,Hong Kong,95,11.18
47.242.234.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,11.18
8.222.197.251,2087,2087,true,SIN,Asia Pacific,Singapore,174,11.17
8.219.97.179,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.17
47.236.117.48,80,80,false,SIN,Asia Pacific,Singapore,4,11.17
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,83,11.16
8.219.142.191,2086,2086,false,SIN,Asia Pacific,Singapore,12,11.16
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,88,11.16
47.243.42.219,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,11.16
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,21,11.15
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,19,11.14
8.222.202.163,8880,8880,false,SIN,Asia Pacific,Singapore,6,11.14
47.88.101.9,443,443,true,SJC,North America,San Jose,173,11.14
47.236.144.156,2083,2083,true,SIN,Asia Pacific,Singapore,84,11.14
8.222.244.123,2052,2052,false,SIN,Asia Pacific,Singapore,10,11.14
8.219.137.50,2087,2087,true,SIN,Asia Pacific,Singapore,113,11.13
